bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
прибыть	прибы'ть	arrive	ankommen, eintreffen	perfective	прибывать	прибу'дь	прибу'дьте	при'был	прибыла'	прибы'ло,при'было	прибы'ли,при'были	прибу'ду	прибу'дешь	прибу'дет	прибу'дем	прибу'дете	прибу'дут
заставлять	заставля'ть	force, compel, make; cram, fill, block up, obstruct	zwingen, nötigen; verrammeln, vollstellen	imperfective	заставить	заставля'й	заставля'йте	заставля'л	заставля'ла	заставля'ло	заставля'ли	заставля'ю	заставля'ешь	заставля'ет	заставля'ем	заставля'ете	заставля'ют
подтвердить	подтверди'ть	confirm, corroborate	bestätigen, belegen	perfective	подтверждать	подтверди'	подтверди'те	подтверди'л	подтверди'ла	подтверди'ло	подтверди'ли	подтвержу'	подтверди'шь	подтверди'т	подтверди'м	подтверди'те	подтвердя'т
тянуться	тяну'ться	stretch, stretch out, extend, drag on, crawl, wear on, hang heavy, stretch oneself, reach, reach out, strive, try to equal, try to deep up, imitate, move one after the other, follow each other, move slowly, drift	sich strecken (recken, rekeln) / ausstrecken; sich erstrecken (räumlich) / (aus)dehnen; sich hinziehen (zeitlich), sich in die Länge ziehen, dahinschleichen, sich dahinschleppen	imperfective	потянуться,протянуться	тяни'сь	тяни'тесь	тяну'лся	тяну'лась	тяну'лось	тяну'лись	тяну'сь	тя'нешься	тя'нется	тя'немся	тя'нетесь	тя'нутся
испугаться	испуга'ться	to be frightened of, be startled of, take fright at, shy at	erschrecken, sich ängstigen, Angst haben	perfective	пугаться	испуга'йся	испуга'йтесь	испуга'лся	испуга'лась	испуга'лось	испуга'лись	испуга'юсь	испуга'ешься	испуга'ется	испуга'емся	испуга'етесь	испуга'ются
совершить	соверши'ть	accomplish, perform, commit, perpetrate	verüben / begehen, machen; vollziehen / vollbringen	perfective	совершать	соверши'	соверши'те	соверши'л	соверши'ла	соверши'ло	соверши'ли	совершу'	соверши'шь	соверши'т	соверши'м	соверши'те	соверша'т
съесть	съесть	eat, eat up	aufessen	perfective	есть,съедать	съе'шь	съе'шьте	съе'л	съе'ла	съе'ло	съе'ли	съе'м	съе'шь	съе'ст	съеди'м	съеди'те	съедя'т
запомнить	запо'мнить	memorize, remember, keep in mind	sich einprägen, sich merken, im Kopf behalten; speichern, festhalten	perfective	помнить;запоминать	запо'мни	запо'мните	запо'мнил	запо'мнила	запо'мнило	запо'мнили	запо'мню	запо'мнишь	запо'мнит	запо'мним	запо'мните	запо'мнят
приближаться	приближа'ться	approach, near, approximate	näherkommen; sich nähern	imperfective	приблизиться	приближа'йся	приближа'йтесь	приближа'лся	приближа'лась	приближа'лось	приближа'лись	приближа'юсь	приближа'ешься	приближа'ется	приближа'емся	приближа'етесь	приближа'ются
участвовать	уча'ствовать	participate	teilnehmen, sich beteiligen, beteiligt sein, mitmachen, mitarbeiten, mitwirken	imperfective	поучаствовать	уча'ствуй	уча'ствуйте	уча'ствовал	уча'ствовала	уча'ствовало	уча'ствовали	уча'ствую	уча'ствуешь	уча'ствует	уча'ствуем	уча'ствуете	уча'ствуют
ловить	лови'ть	catch, pick up	fangen, ertappen; jagen	imperfective	поймать,изловить	лови'	лови'те	лови'л	лови'ла	лови'ло	лови'ли	ловлю'	ло'вишь	ло'вит	ло'вим	ло'вите	ло'вят
удивляться	удивля'ться	wonder	sich wundern; staunen, erstaunt sein	imperfective	удивиться	удивля'йся	удивля'йтесь	удивля'лся	удивля'лась	удивля'лось	удивля'лись	удивля'юсь	удивля'ешься	удивля'ется	удивля'емся	удивля'етесь	удивля'ются
сомневаться	сомнева'ться	to doubt	zweifeln, bezweifeln	imperfective	усомниться	сомнева'йся	сомнева'йтесь	сомнева'лся	сомнева'лась	сомнева'лось	сомнева'лись	сомнева'юсь	сомнева'ешься	сомнева'ется	сомнева'емся	сомнева'етесь	сомнева'ются
